2 12
   0   0  1/2    0
 -1/2  1/2   0    0
 -1/2 -1/2  1/2    0

2 12
  1/2   0 -1/2   1/4
 -1/2  1/2 -1/2   1/4
   0  1/2   0    0

2 12
 -1/2   0  1/2    0
 -1/2  1/2 -1/2   1/4
   0 -1/2   0   1/4

22 6
   1   0   0   1/8
   0   1   0   1/8
   0   0   1   1/8

2 12
 -1/2  1/2   0    0
 -1/2 -1/2  1/2    0
   0   0  1/2    0

2 12
  1/2   0 -1/2   1/4
  1/2 -1/2  1/2    0
   0 -1/2   0   1/4

2 12
 -1/2   0  1/2    0
  1/2 -1/2  1/2    0
   0  1/2   0    0

196 2
   1   0   0   1/8
   0   1   0   1/8
   0   0   1   1/8

2 12
   0   0  1/2    0
  1/2  1/2 -1/2   1/4
 -1/2  1/2   0   1/4

